film_title,category,plot
Sikandar,"Aksiyon, Dram","Adaletsizlikle boğuşan bir ülkede, ateşli bir genç, güçlü bir yolsuzluk ağına karşı çıkıyor, mevcut düzeni sorguluyor ve halkın hakları için mücadele ediyor."
Bizim Zamanımızda,"Bilim-Kurgu, Romantik, Komedi",Evli çift Nora ve Héctor çığır açan bilimsel keşifleriyle zamanda yolculuk ederek 1966 yılından 2025'e gelir. Héctor bocalasa da Nora başarılıdır. Ama bunun bedeli ne olacaktır?
Mücevher Hırsızı - Soygun Başlıyor,"Aksiyon, Gerilim","Bu yüksek tempolu kurnazlık ve irade yarışında usta düzenbaz Rehan, bir elmas soygunu planlarken bir yandan da sadist hasmı Rajan'ı zekâsıyla alt etmeye çalışır."
Mufasa: Aslan Kral,"Macera, Aile, Animasyon","Mufasa, efsanesini Simba ve Nala'nın kızı aslan yavrusu Kiara'ya aktarması için Rafiki'den yardım istiyor. Geçmişe dönüşlerle anlatılan hikaye, Mufasa'yı kaybolmuş ve yalnız bir yetim yavru olarak tanıtıyor, ta ki kraliyet soyunun varisi Taka adında sempatik bir aslanla tanışana kadar. Şans eseri buluşma, kaderlerini arayan olağanüstü bir grup uyumsuzun yola koyulmasına neden oluyor. Bu grubun arasındaki bağ, tehditkar ve ölümcül bir düşmandan kaçmak için birlikte çalışmaları sonucu sınanıyor."
Tin Soldier,"Aksiyon, Gerilim","Hayatta bir yol, emniyet ve güvenlik arayanlara hitap eden The Bokushi, gazileri bir araya getirir. Bu manevi lider, iyi eğitimli eski ordu üyelerinden oluşan takipçileri nedeniyle, dünya liderlerinin hesaba katılması gereken bir güç haline gelir."
Tam Bana Göre,"Romantik, Dram","Profesyonel evlilik danışmanı Lucy, aşk hakkında her şeyi bildiğine inanmaktadır. Usta bir şekilde kalpleri birleştirirken, kendisi kararlı bir bekâr olarak kalmayı sürdürür. Ta ki, karizmatik milyoner Randy ona kur yapmaya başlayana ve yakışıklı eski sevgilisi John yeniden hayatına girinceye kadar... Lucy, gerçek aşkın hiçbir formüle ve hesaba sığmayacağını anlar."
F1,"Aksiyon, Dram","Yarış efsanesi Sonny Hayes, zor durumdaki bir Formula 1 takımına liderlik edip bir kez daha zafere ulaşma şansını kovalarken bir yandan da genç, yetenekli bir sürücüye akıl hocalığı yapmak üzere pistlere döner."
Jurassic World: Yeniden Doğuş,"Bilim-Kurgu, Macera, Aksiyon","Jurassic World: Hâkimiyet'te yaşanan olaylarından beş yıl sonrasında geçmektedir. Dünya'nın ekosistemi, dinozorlar için büyük ölçüde elverişsiz hale gelmiş ve hayatta kalanlar, bir zamanlar gelişip büyüdükleri tropikal bölgelere çekilmiştir. Zora Bennett adlı gizli operasyonlar uzmanının, insanlık için mucizevi faydalar sağlayacak bir ilacın geliştirilmesi amacıyla üç büyük dinozordan genetik materyal toplamak üzere bir ekibe liderlik ediyor. Görev sırasında, ekibin yolu bir adada mahsur kalan bir aileyle kesişir ve burada onlarca yıldır dünyadan gizlenen karanlık bir sırrı keşfederler."
Dokunulmazlık,"Gerilim, Aksiyon","Eski bir özel kuvvetler askeri olan Sara, ABD konsolosluğunda ortadan kaybolan oğlunu bulmak için elinden gelen her şeyi yapar ve karanlık bir komployu açığa çıkarır."
Vahşi Robot,"Animasyon, Bilim-Kurgu, Aile","Bu destansı macera, ıssız bir adaya düşen ve zorlu çevre koşullarına uyum sağlamayı öğrenmesi gereken bir robotun -ROZZUM ünite 7134’ün, kısaca “Roz”un- yavaş yavaş adadaki hayvanlarla ilişki kurmasını ve yetim bir kaz yavrusunun evlat edinmesini konu alıyor."
The Gorge,"Romantik, Bilim-Kurgu, Gerilim","Yüksek eğitimli iki ajan, gizemli bir vadinin iki tarafını korumak için gönderildikten sonra yakınlaşırlar. Vadideki kötülük ortaya çıktığında sağ kurtulmak için birlikte çalışmak zorundadırlar."
The Monkey,"Korku, Komedi","İkiz kardeşler Hal ve Bill, çocukluklarında karşılaştıkları lanetli bir oyuncak maymunun peşlerini bırakmadığını keşfederler. Oyuncak maymun, onu eline geçiren her kişiye dehşet ve ölüm getirirken, kardeşler hem geçmişlerinin karanlık sırlarıyla hem de bu uğursuz mirasla yüzleşmek zorundadır. Yıllar sonra tekrar bir araya geldiklerinde, masum bir çocuğun hayatını kurtarmak için bu laneti durdurmaya çalışırlar."
Brave Citizen,"Aksiyon, Dram, Komedi","Kahraman So Si Min’in hikayesi, liseli sporcu olarak üst düzey hapkido becerileriyle ülkede tanındığı dönemi anlatıyor. Yedi yıl sonra, yarı zamanlı bir öğretmen olarak hayatına devam ederken, So Si Min birden bire kötü şöhreti olan öğrenci Han Soo Kang’ın hedefi haline gelir."
Ters Yüz 2,"Animasyon, Macera, Komedi, Aile","Disney ve Pixar'ın ""Ters Yüz 2"" filminde, ergenliğe adım atan Riley'nin zihnine döneriz. Merkez'de aniden bir tadilat başlar ve hiç hesapta olmayan yeni Duygular'a yer açılır! Uzun zamandır işleri başarıyla yürüten Neşe, Üzüntü, Öfke, Korku ve Tiksinti, Kaygı geldiğinde neler hissedeceklerini bilemez. Üstelik Kaygı yalnız değildir, beraberinde Utanç, Gıpta ve Bıkkınlık da gelmiştir."
Culpa Tuya,"Romantik, Dram","Dünya çapında çok izlenen Culpa Mía'nın devam filmi olan bu filmde Noah ile Nick arasındaki aşk, ebeveynlerinin onları ayırmak için gösterdiği tüm çabalara rağmen sarsılmadan devam etmektedir. Ama Nick'in işi ve Noah'nın üniversiteye başlaması, ilişkilerinin ve Leister ailesinin temellerini sarsacak yeni ilişkilere kapı aralar. Bu kadar insanın yıkmaya çalıştığı bir ilişki ayakta kalabilir mi?"
Venom: Son Dans,"Aksiyon, Bilim-Kurgu, Macera","Venom: Son Dans (2024), Eddie Brock ve Venom’un hikâyesinin son bölümünü işleyen bir bilim kurgu, aksiyon ve macera filmidir. Bu filmde, Eddie ve simbiyotu Venom, artık bir arada yaşamaya alışmışlardır. Ancak, kendilerini hem dünyalarından hem de başka düşmanlardan kaçmak zorunda kalan birer kaçak olarak bulurlar. Bu durum, Eddie ve Venom’un hayatta kalmak için güçlü bir ortaklık kurmasını gerektirir."
28 Hafta Sonra,"Korku, Gerilim, Bilim-Kurgu",Rage virüsünün Britanya adalarına yayılmasının yarattığı kaos kontrol altına alınmış ve insanlar yavaş yavaş boşaltmak zorunda kaldıkları evlerine geri dönmeye başlamışlardır. Amerikan ordusu da Londra'nın çeşitli yerlerinde düzenin sağlanması ve insanların güvenle evlerine yeniden yerleşebilmelerini sağlamak için yardım etmektedir.
Deadpool & Wolverine,"Aksiyon, Komedi, Bilim-Kurgu","Wade Wilson’ın bir paralı asker olarak geçirdiği günler ve Deadpool kimliği artık geride kalmıştır. O şimdi sivil hayatta varlık göstermek için çabalar. Wade, yeni hayatına alışmaya çalışırken, büyük bir tehlike ile karşı karşıya kalınca harekete geçmek zorunda kalır. Ancak bu tehlike ile tek başına baş etmesi zordur. Bu yüzden Wade en az kendisi kadar isteksiz olan Wolverine'i yardım etmesi için ikna etmeye çalışır."
Derin Kargaşa,"Aksiyon, Suç, Gerilim","Bezgin bir polis, ölümcül biçimde kontrolden çıkan bir uyuşturucu operasyonundan sonra, yolsuzluğa batmış şehrin yeraltı dünyasında bir siyasetçinin oğlunu kurtarmak için savaşır."
Superman,"Aksiyon, Macera, Bilim-Kurgu","Metropolis'te çaylak bir muhabir olan Superman, Clark Kent olarak büyüdüğü hayatıyla Krypton mirasını bağdaştırmak üzere bir yolculuğa çıkar."
Kung Fu Panda 4,"Animasyon, Aile, Aksiyon, Komedi, Macera, Fantastik","Ejderha Savaşçı Po, eşsiz cesareti ve dövüş sanatlarındaki yetenekleriyle kötü adamları alt ettiği üç maceradan sonra yeniden maceraya atılır; Huzur Vadisi'nin ruhani lideri olması için görevlendirilir. Bu da birkaç sorunu ortaya çıkarır. Birincisi, Po'nun ruhani liderlik hakkında bildikleri taş devri diyeti hakkında bildikleri kadardır ve ikincisi ise bu yeni ulu pozisyonunu üstlenmeden önce hızla yeni bir ejderha savaşçı bulması ve eğitmesi gerekiyordur."
Korku Sokağı: Mezuniyet Balosu,"Korku, Gizem","Shadyside Lisesi'nin 1988'deki mezuniyet balosunda kim kraliçe seçilecek? Bu rekabet, iddiasız Lori için daha adaylar birer birer öldürülmeye başlamadan önce de oldukça acımasızdı."
Titan: OceanGate Denizaltı Faciası,"Belgesel, Dram","OceanGate'in turistik denizaltısı Titan, 2023'te Titanik enkazına yaptığı dalış sırasında patladı. Bu belgesel, cüretkâr bir vizyonun nasıl trajediyle sonuçlandığını anlatıyor."
