film_title,category,plot
Zack Snyder's Justice League,"Aksiyon, Macera, Fantastik","Süpermen’in nihai fedakarlığının boşuna olmamasını sağlamaya kararlı olan Bruce Wayne, dünyayı felaket oranlarının yaklaşan bir tehdidinden korumak için bir meta insan ekibi oluşturma planlarıyla Diana Prince ile güçlerini birleştirir."
Kötü Ruh: Uyanış,"Korku, Gerilim","Zamanla birbirlerinden uzaklaşmış iki kız kardeş, şeytani etki altındaki ölülerin istilası altında kaldıklarında hayatta kalabilmek için farklılıklarının üstesinden gelmek zorunda kalırlar."
Kül Kedisi Sinderella,"Aile, Fantastik, Animasyon, Romantik",Tüm zamanların en sevilen peri masalı Cinderella’yı unutulmayan müzikleri ve karakterleriyle yeniden keşfedin.  Cinderella bir gün hayallerindeki hayata kavuşacağına olan inancını asla kaybetmez. Sadık fare arkadaşlarının yardımı ve Peri Anne’sinin sihirbaz değneğini sallamasıyla Cinderella’nın eski püskü giysileri sihirli bir şekilde göz kamaştırıcı bir balo elbisesine dönüşür ve Kraliyet Balosu’na prensiyle tanışmaya gider.
Doktor Strange,"Aksiyon, Macera, Fantastik","Marvel Studios'un yapımında, korkunç bir araba kazasında ellerini kaybettikten sonra hayatı sonsuza dek değişen dünyaca ünlü beyin cerrahi Dr. Stephen Strange in öyküsü anlatılıyor. Geleneksel tip ona yardımcı olamadığında, Kamar-Taj adındaki yerde şifa ve umut aramak zorunda kalır. Buranın yalnızca şifa dağıtan bir yer olmadığını, aynı zamanda gerçekliğimizi yok etmeye çalışan görünmeyen karanlık güçlere karşı verilen savaşın da cephesi olduğunu çok geçmeden anlar. Yeni sihirli güçler edinen Strange'in, kısa süre içinde eski yaşamına dönmek veya her şeyi geride bırakıp yaşayan en güçlü büyücü olarak dünyayı savunmak arasında bir seçim yapması gerekir."
Beşinci Güç,"Bilim-Kurgu, Aksiyon, Macera","23. yüzyılda New York. Dünya yok olmanın eşiğindedir. Her 5000 yılda bir geri dönerek yaşamı yok etmeye çalışan şeytani güç, bir gezegen biçiminde hızla dünyaya yaklaşmaktadır. Tek kurtuluş beşinci güç olarak adlandırılan, kimsenin ne olduğunu bilmediği elementin dünyaya ulaşmasıdır.Bunu başaracak tek kişi eski bir asker olan taksi şoförü Korben Dallas'dır. Ancak onun ilgilenmesi gereken mükemmel güzellikte bir yaratık vardır."
Açlık Oyunları: Kuşların ve Yılanların Şarkısı,"Dram, Bilim-Kurgu, Macera, Aksiyon","Capitol'de gözden düşen ve solmakta olan bir soyun son umudu olan Coriolanus Snow, 10. Açlık Oyunları için mentor olarak seçildiğinde hayatı değişir. Snow, yoksul 12. Bölge'nin haraç kızı Lucy Gray Baird'e akıl hocalığı yapmakla görevlendirildiğinde büyük bir paniğe kapılır. Ancak Lucy, hasat töreni sırasında söylediği şarkıyla tüm dikkatleri üzerine çeker. Bu durumun ardından Snow, durumu lehine çevirebileceğine inanmaya başlar. Güçlerini birleştiren Snow ve Lucy'nin hayatta kalmak için zamana karşı yarışı, sonunda kimin ötücü kuş, kimin yılan olduğunu ortaya çıkaracaktır."
Kim Demiş Kötüyüz Diye?,"Aile, Komedi, Suç, Macera, Animasyon","The Bad Guy, efsanevi soygunlara imza atan beş kötü adama odaklanıyor. Bu zamana kadar birçok soyguna imza atan Bay Wolf, Bay Snake, Bay Piranha, Bay Shark ve Bayan Tarantula, şimdi hayatlarının en zorlu işini yapmaya kalkışır. Büyük bir soygun için plan yapan ekip, bu sırada başlarına gelenlere rağmen planlarını uygulayabilecek midir?"
Çığlık,"Suç, Korku, Gizem","Küçük kasabalarında bir dizi gizemli ölüm yaşandıktan sonra, Sidney Prescott’ın önderliğindeki sıra dışı bir grup arkadaş, maskeli bir katilin hedefi haline gelir. Ceset sayısı artmaya başlayınca, Sidney ve arkadaşları kendilerini korku filmlerinin “kurallarını” düşünürken bulurlar, çünkü kendileri gerçek hayatta bir korku filmini yaşıyorlardır."
Kapan,"Gizem, Gerilim, Korku","Chris Washington, kız arkadaşı Rose Armitage ile uzak mesafe ilişkisi yaşayan bir gençtir. Bir gün Rose, Chris’i hafta sonu kaçamağı için ailesinin evine çağırır. Rose’un annesi Missy ve babası Dean de onlara katılır. Başta Chris, Rose’un ailesinden güzel tepki almasına şaşırır, bir yandan da kıllanır. Çünkü dönem gereği bir beyaz ve siyahinin ilişkisine sıcak bakılmamaktadır. Bu durum kafasını karıştırırken bir yandan da evde siyahi kişilerin bir bir kaybolduğunu öğrenmesi onu bir bilinmezliğe doğru itecek ve gerçeklerle yüzleştirecektir."
İnanılmaz Örümcek-Adam 2,"Aksiyon, Macera, Bilim-Kurgu","Gwen Stacy'yi tehlikeli hayatının dışında bırakma sözünü tutmakta zorlanan Örümcek Adam, Rhino'ya ve güçlü Electro'ya meydan okur."
Komşu Kızı,"Komedi, Romantik","Matthew, politikaya atılmak isteyen 18 yaşında bir gençtir. Bitirmek üzere olduğu okuluna konsantre olduğu için sosyal yaşamı neredeyse yok gibidir. Bir gün masum görünüşlü güzel karşı komşusu Danielle ile tanışan Matthew'in hayatı birden bire değişir. İkili bir birine aşık olur ve hayal gibi bir ilişki başlar. Fakat Danielle'in geçmişi sanıldığı gibi masum değildir. Matthew, bütün şehirle birlikte genç kızın bir dönem porno yıldızı olduğunu keşfeder. Kurduğu mükemmel yaşantı derinden sarsılan Matthew, Danielle'in geçmişte bıraktığı masumiyetini yeniden kazanmasına yardımcı olurken Danielle, Matthew'un kabuğundan çıkarak yaşamı keşfetmesini sağlayacaktır."
Damsel,"Fantastik, Aksiyon, Macera","Princess Elodie, görev bilinciyle yakışıklı bir prensle evlenmeyi kabul eder, ancak kraliyet ailesinin onu kadim bir borcu ödemek için kurban olarak seçtiğini öğrenir. Ateş püskürten bir ejderhayla birlikte bir mağaraya atılan genç prenses hayatta kalmak için zekasına ve iradesine güvenmek zorundadır."
Kötü Kızlar,Komedi,"Okulun yeni öğrencisi olan Cady Heron, işbirlikçi kraliçe arı Regina George ve yardakçıları Gretchen ve Karen liderliğindeki ""Plastikler"" adlı popüler kız grubuna dahil olur. Ancak Cady, Regina'nın eski erkek arkadaşı Aaron Samuels'e aşık olmak gibi büyük bir hata yaptığında, kendisini Regina'nın hedefinde bulur. Cady, dışlanmış arkadaşları Janis ve Damian'ın yardımıyla grubun en büyük yırtıcısını alt etmeye çalışırken, en acımasız ormanda yol alırken kendine nasıl sadık kalacağını öğrenmesi gerekir."
Shang-Chi ve On Halka Efsanesi,"Aksiyon, Macera, Fantastik","Marvel Studios'larından Shang-Chi Ve On Halka Efsanesi, Simu Liu tarafından canlandırılan Shang-Chi, geride bıraktığını zannettiği geçmişiyle karşı karşıya gelerek, son derece tehlikeli On Halka Organizasyonunun lideri olan babasıyla yüzleşmek zorundadır. Shang-Chi Ve On Halka Efsanesi, Destin Daniel Cretton tarafından yönetilmiş, Kevin Feige ve Jonathan Schwartz yapımcılığını, Louis D'Esposito, Victoria Alonso ve Charles Newirth'da yürütücü yapımcılığını yürütmüştür. Hikaye Dave Callaham, Destin Daniel Cretton ve Andrew Lanham'a aittir. Filmin senaryosu ise Dave Callaham ve Destin Daniel Cretton tarafından yazılmıştır."
Büyükanneler Restoranı,Komedi,"Çok sevdiği annesini kaybeden bir adam, onun anısını onurlandırmak için gerçek büyükannelerin şeflik yaptığı bir İtalyan restoranı açarak her şeyini riske atar."
Röntgenciler,Gerilim,"Yolun karşısındaki komşularının (Ben Hardy ve Natasha Liu Bordizzo) seks hayatı, genç bir çiftin (Sydney Sweeney ve Justice Smith) ilgisini çekmeye başlar. Masum bir merak olarak başlayan şey, komşularından birinin ötekini aldattığını keşfetmeleriyle sağlıksız bir takıntıya dönüşür. Hayatlarının birbirine düğümlenmesine sebep olan cazibe ve tutku, ölümcül sonuçlar doğuracaktır."
Alacakaranlık Efsanesi: Yeni Ay,"Macera, Fantastik, Dram, Romantik","Bella, içine girmek istediği dünyaya yönelik araştırmasını derinleştiriyor, ancak kendisini daha da büyük bir tehlikenin içinde buluyor. Edward’ın Washington’dan ayrılmasının ardından Bella, kendini her tehlikeye atışında Edward’ın hayalinin yanında olduğunu keşfediyor. Bella’nın taşlaşmış kalbi, kendi doğaüstü sırları olan Jacob ile filizlenen ilişkisiyle birlikte zamanla yumuşuyor."
Napolyon,"Tarih, Savaş, Romantik","Napolyon filmi, Fransız İhtilâli sonrası çalkantılı günler yaşayan Fransa'da Napolyon'un sıradan bir askerden, Fransa İmparatoru'na kadar yükselişinin hikayesini konu ediyor. Film aynı zamanda Bonaparte'ın eşi Josephine ile yaşadığı evliliği de gözler önüne seriyor. Bonapart, tek gerçek aşkı Josephine ile olan bağımlılık yaratan, değişken ilişkisinin prizmasından geçerek iktidara gelmek için amansız bir yolculuğa çıkar."
Squid Game: The Challenge - Kamera Arkası,Belgesel,"""Squid Game""den esinlenen reality programının, senaryolu bir dramayı acımasız ve nefes kesen bir yarışmaya nasıl dönüştürdüğünü kamera arkası görüntüleriyle keşfedin."
Gülümse,"Korku, Gizem","Bir hastayı içeren tuhaf, travmatik bir olaya tanık olan Dr. Rose Cotter, açıklayamadığı korkutucu olaylar yaşamaya başlar. Bu karşı konulmaz derecede bunaltıcı olan dehşet hayatını ele geçirmeye başlarken, Rose hayatta kalmak ve korkunç yeni gerçekliğinden kaçmak için sıkıntılı geçmişiyle yüzleşmek zorundadır."
Star Wars: Güç Uyanıyor,"Macera, Aksiyon, Bilim-Kurgu","Kylo Ren ve şeytani İlk Düzen, İmparatorluğun küllerinden doğarken Luke Skywalker, galaksinin ona en çok ihtiyaç duyduğu zaman kayıptır. Galakside barışı yeniden sağlamanın tek umudunu aramak için Han Solo ve Chewbacca ile güç birliği yapmak bir çöl hurdacısı olan Rey ve eski stormtrooper Finn'e bağlıdır."
Batıda Kan Var,"Dram, Vahşi Batı","Kanun dışı işler yapan ve acımasız biri olan Frank ve adamları yaşadıkları bölgede süren demiryolu projesi ile ilgili cinayet işlerler. Öldürdükleri Brett McBain'in eşi Jill bölgede kalmaya karar verir. Frank ile eskiden bir hesabı olan Harmonica, Jill ve başka bir kanun kaçağı olan Cheyenne ile beraber Frank ve adamlarına karşı gelmeye karar verirler."
Terrifier 2,"Korku, Gerilim","Herkes, seri katil Art the Clown'un öldüğünü ve dünyanın daha güvenli bir yer haline geldiğini düşünüyordu. Ne yazık ki gizemli bir karanlık güç ona ikinci bir hayat verir ve Art, ölümden dönerek korku, acı ve ölüm saçmaya başlar. Bu korkunç oyunu için kurban olarak genç kardeşler Sienna (Lauren LaVera) ve Jonathan'ı (Elliott Fullam) seçer. Gizemli bir varlığın şeytani fısıltılarıyla ya da kendi hasta zihninin etkisiyle hareket eden Art, çılgın bir sanatçının titizliğiyle korkunç planını uygulamaya koyulur. Kabus ile gerçeklik arasındaki sınırlar giderek bulanıklaşırken ve yeni kurbanlar acı içinde can verirken, Sienna ve Jonathan, hayatta kalmalarını sağlayabilecek bir aile sırrını keşfeder."
Taksi Şoförü,"Suç, Dram","Hem Martin Scorsese’nin hem de Robert De Niro’nun filmografilerindeki belki de bu en çarpıcı filmde, 70’lerin Manhattan gecelerinde taksicilik yapan Vietnam gazisi Travis’le birlikte sokaklardayız.Hikaye boyunca etrafındaki hayatla ve yolunun kesişeceği ""toplumun pisliğiyle"" (bir çocuk fahişe, güzel bir sarışın, başkan adayı bir senatör, gözü dönmüş bir kadın satıcısı) bir türlü iletişim kuramayacak olan Travis, en nihayetinde ipleri eline alacaktır. Üstelik gündüzleri izlemeye gittiği belden aşağı filmlerdeki ""vahşi"" bir stilde...Sadece eşsiz senaryosu ve oyunculuklarıyla değil, sıradışı sinematografisiyle de tüm zamanların en etkili filmlerinden biri..."
Hobbit: Smaug'un Çorak Toprakları,"Fantastik, Macera, Aksiyon","Bilbo Baggins, Büyücü Gandalf ve Thorin Meşekalkan’ın 13 cüceyle birlikte, Yalnız Dağ’ı ve kayıp Erebor Cüce Krallığı’nın bulmak için yola koyulduğu serüven devam ediyor. Grup, doğuya doğru ilerlerken önce Göl kasabasına, oradan da nihayet Yalnız Dağ’a gider. Burası en büyük tehlikeyle, tüm yaratıklar içinde en korkutucu olanıyla Ejderha Smaug’la karşılaşıp yüzleşecekleri yerdir."
Dolunay Katilleri,"Suç, Tarih, Dram","20. yüzyılın başında arazilerinde çıkan petrol, Amerikan yerlisi Osage Halkı’na servet kazandırarak onları bir gecede dünyanın en zengin insanları haline getirir. Ancak bu zenginlik, çok sayıda cinayete de sebep olur. Cinayetleri araştıranlar da aynı kaderi paylaşır. Ölenlerin sayısı yirmi dördü aştığında ise davaya henüz kurulma aşamasında olan FBI atanır.  FBI dedektifi gizemli cinayetleri araştırırken korkunç bir sırrı da açığa çıkarır."
Jurassic Park,"Macera, Bilim-Kurgu","Mağaralarda yapılan kazı çalışmaları sonucunda dinozorların yaşadığı tarih öncesi çağa ait bazı sivrisinek fosilleri bulunur. Milyarder John Hammond öncülüğündeki bilim adamları, son derece ilginç ve karmaşık testler deneyerek bu sivrisinek fosillerindeki kan örneklerini almayı başarırlar.Dinazorların DNA zinciri bir Afrika kurbağasıyla birleştirilerek 65 milyon yıl önce yaşamış bu korkunç yaratıklar yeniden yaratılır. Hammond hükümetten kiraladığı bir adada klonladıkları bu vahşi hayvanlar için elektrikli tellerle çevrili bir hayvanat bahçesi kurmuştur. İhtiyar Hammond, bir hafta sonunda Doktor Allen gibi bazı işinde uzman bilim adamlarını Jurassic Park adını verdiği bu hayvanat bahçesini test ettirmek için adaya getirir. Ancak embriyolarını ele geçirmek isteyen biri, güvenlik sistemini devre dışı bırakınca serbest kalan dinozorlar adada dehşet saçmaya başlar..."
Aşıklar Şehri,"Komedi, Dram, Romantik, Müzik","Hayatlarında yön bulmaya çalışan iki tutkulu insan Sebastian ve Mia'nın yolları, Los Angeles'ta trafiğin sıkışık olduğu bir gün kesişir. Her ikisi de sanat tutkunu olan bu iki insan, hayallerini gerçekleştirme yolunda düşe kalka ilerlemektedir.  Sebastian Wilder geleneksel jazzın kolonlardan yükseldiği bir kulüp açma hayalinde, Mia Dolan ise kafesinde çalıştığı film platosunda kendine uygun tüm oyunculuk seçmelerine katılarak bir rol kapma telaşındadır. Bu iki insanın kalpleri birbiri için atmaya başladığında ortaya çıkan manzarayı hayat şartları bozacak, onları yavaş yavaş hayallerinden uzaklaştırmaya başlayacaktır."
Görevimiz Tehlike III,"Macera, Aksiyon, Gerilim",Gizli ajan Ethan Hunt beyazperdeye geri dönerken bugüne kadar karşılaştığı en amansız rakibini de yanında getirdi. Hunt ile ekibi bugüne kadar izini kimsenin takip edemediği silah satıcısı ve bilgi sağlayıcısı Owen Davian'a karşı zor bir göreve soyunuyor.
Çılgın Hırsız,"Aile, Komedi, Animasyon","Renk renk çiçeklerle çevrili, güleryüzlü komşuluk ilişkilerinin sürdüğü banliyöde, bu yaşantıyı bozacak bir sır saklıdır. Banliyönün en bakımsız ve çirkin evinde yaşayan Gru, küçük köleleri ile birlikte dünyanın kaderini değiştirecek bir plan yapmaktadır. Gru, dünyanın uydusu Ay'ı çalmaya karar vermiştir.Üç küçük yetim olan Margo, Edith ve Agnes, bu kötü kalpli adamla karşılaştıklarında ise, hiç kimsenin göremediği bir ayrıntıyı fark ederler: Gru onlar için potansiyel bir baba adayıdır."
Predators,"Bilim-Kurgu, Aksiyon, Gerilim","Royce bir ormana paraşütle düşerken uyanır ve kendini bilmediği bir ortamda bulur, hemen sonrasında aynı şekilde gelen birkaç kişiyle de karşılaşır. Kısa bir süre sonra aralarındaki doktor hariç hepsinin alanlarında uzman katiller olduğunu ve yabancı bir gezegende uzaylı bir ırk tarafından avlandıklarını keşfederler."
Predators,"Bilim-Kurgu, Aksiyon, Gerilim","Royce bir ormana paraşütle düşerken uyanır ve kendini bilmediği bir ortamda bulur, hemen sonrasında aynı şekilde gelen birkaç kişiyle de karşılaşır. Kısa bir süre sonra aralarındaki doktor hariç hepsinin alanlarında uzman katiller olduğunu ve yabancı bir gezegende uzaylı bir ırk tarafından avlandıklarını keşfederler."
Joe Black,"Fantastik, Dram, Romantik","Bill Parish, bu dünyada bir insanın sahip olabileceği her şeye sahiptir: Güç, para, başarı ve mutlu bir aile. Fakat mutlu dünyası 65. yaş gününden birkaç gün önce esrarengiz yabancı Joe Black'in ziyaretiyle altüst olacaktır. Zira bu herhangi bir genç adam değil, Parish'in canını almaya gelen Ölüm'dür. Doğum gününü ailesiyle kutladıktan sonra hayata veda etmeyi tercih eden Bill, dünyada geçireceği fazladan birkaç güne karşılık Ölüm'ün dünyadaki rehberi olmayı kabul eder. Ölüm ise dünyanın tüm nimetlerini, en başta da aşkı tadacaktır. Ancak aşık olduğu kişinin Parish'in güzel kızı Susan olması, Bill'in dünyadaki son günlerini oldukça çetin kılacak gibidir."
Deadpool 2,"Aksiyon, Komedi, Macera","Deadpool, kahramanlık işlerini devam ettirmekte, bir yandan da gündelik hayatını sürdürmektedir. Kız arkadaşı Vanessa ile mutlu bir ilişki sürdüren Deadpool'un düzeni, gelecekten gelen Cable'ın ortaya çıkışıyla sarsılır. Cable gelecekte tehdit oluşturacak bir çocuğun peşindedir. Deadpool, Cable'ı durdurabilmek için süper güçlere sahip bir ekibi toplar ve bu aykırı karakterlerden oluşan X-Force ekibi, Deadpool ile birlikte maceraya atılır."
Pasifik Savaşı,"Aksiyon, Bilim-Kurgu, Macera","Denizden Kaiju adı verilen yaratıklar yükselmeye başlayınca, milyonlarca insanın canına mal olacak ve insan kaynaklarını tüketen bir savaş başlar. Bu devasa Kaijular ile savaşabilmek için özel bir silah üretilir. Jaeger adı verilen büyük robotlar akılları nöral bir köprüde kitlenmiş iki pilot tarafından beyin gücüyle yönetilir. Ama Jaegerlar bile acımasız Kaijuların yanında savunmasız kalırlar. Yenilmenin eşiğindeki insanoğlunun son çaresi eski pilot (Charlie Hunnam) ve deneyimsiz stajyer (Rinko Kikuchi)'dir. Birlikte, kıyamete karşı insanlığın son umudu olacaklardır."
Cesur,"Animasyon, Macera, Komedi, Aile, Aksiyon, Fantastik","Merida, İskoç Kralı Fergus ve Kraliçe Elinor’un okçuluk konusunda oldukça yetenekli ama bir o kadar da deli fişek kızlarıdır. Kaderinin kendi elinde olduğuna inanan Merida, ülkede yüzyıllardan beri süregelen bir geleneğe karşı çıkar. Bu geleneği sürdürmek için uğraşan Lord MacGuffin, Lord Macintosh ve Lord Dingwall bu yetenekli, kızıl saçlı kızdan hiç hoşlanmaz ve Merida’nın kararları krallık içerisindeki düzeni bozar. Bu düzene herkesin uymasını sağlamak için Oymacı Kadın’a başvuran Merida bir büyü yaptırır ancak büyü korkunç bir lanete dönüşür. Merida daha fazla gecikmeden korkunç laneti ortadan kaldırmaya çalışırken gerçek cesareti de göstermesi gerekecektir."
Thor,"Macera, Fantastik, Aksiyon","Dünyada birçok kahraman vardır... Ama sadece bir tanesi tanrıdır. Kendi dünyası Asgard'dan Dünya'ya sürülmüş olan kibirli savaşçı Thor'un (Chris Hemsworth), kaybettiği güçlerini geri kazanabilmesi için mücadele etmesi gerekmektedir. Kendisini yok etmek üzere gönderilen işgal kuvvetlerinin takibindeki göklerden kovulmuş Fırtına Tanrısı ayağa kalkıp savaşmalı ve gerçek bir kahraman olmanın bedelini öğrenmelidir. Eleştirmenlerin heyecan verici, eğlenceli ve ""cool"" olarak tanımladığı gişe rekortmeni filmde, Natalie Portman ve Anthony Hopkins de rol alıyor."
Kill Bill: Vol. 1,"Aksiyon, Suç","Sıra dışı yazar ve yönetmen Quentin Tarantino'nun büyük beğeni kazanan dördüncü filmi olan, acımasız bir ihaneti ve destansı bir kan davasını konu alan heyecan ve gerilimi yüksek Kill Bill: Volume 1'de başrollerde Uma Thurman (Pulp Fiction), Lucy Liu (Charlie's Angels, Chicago) ve Vivica A Fox' u (Two Can Play That Game) izleyeceksiniz. Kendi nikah töreninde başına bir kurşun isabet ettikten dört yıl sonra, Gelin (Thurman) komadan çıkar ve intikam alma vakti geldiğine karar verir! Eski patronu Bill (David Carradine) ve onun ölümcül uluslararası suikast ekibi tarafından vurulduğu göz önüne alınırsa artık kendisinin başlatmadığı ancak bitirmeye kararlı olduğu bir ölüm kalım savaşı onu beklemektedir. Tüm dünyada ses getiren aksiyon dolu nükteli bu film, mutlaka görülmesi gereken bir yapım."
Antlaşma,"Savaş, Aksiyon, Gerilim","Çavuş John Kinley'in son görev turunda, yolu yerel tercüman Ahmed ile kesişir. Bu görevde ekibine yapılan saldırıdan Ahmed sayesinde kurtulan John, hayatta kalmayı başarır. Evine döndükten sonra, Ahmed'i ve ailesini geride bırakamayacağını anlar. Tüm risklere karşı John da kendi hayatını tehlikeye atarak bölgeye geri döner."
Yükseliş,"Romantik, Komedi","Hevesli bir sanat stajyeri olan Ana, patronuyla Londra'ya yapacağı son dakika iş seyahatine giderken uçak bileti beklenmedik bir şekilde birinci sınıfa yükseltilir. Birinci sınıftaki bu daha rahat yaşam tarzına alışmaya çalışırken hem yakışıklı hem zengin William ile tanışır ve fantezisini olması gerekenden biraz daha uzun yaşamaya karar verir."
Suç Takımı 2: Pantera,"Aksiyon, Suç, Gerilim","Film, Big Nick'in Avrupa'ya geri dönüp elmas hırsızlarının ve Pantera mafyasının tehlikeli dünyasına karışan Donnie’nin peşine düşmesini konu ediniyor."
Siyah Giyen Adamlar,"Aksiyon, Macera, Komedi, Bilim-Kurgu","Onlar evrendeki en iyi gizlenen sırdır. Yüksek bütçeler ayrılmış olmasına rağmen, gayriresmi hükümet bürosu için çalışan 'K' ve 'J' Siyah Giyen Adamlar'dır, göç servisinden sorumludurlar ve yerküremize yabancı her şeyin düzenleyicisidirler. Onlar sizin en iyi, son ve tek savunma hattınızdır. Gizlilik içinde çalışırlar ve siyah giyerler. Onlar Siyah Giyen Adamlar'dır. Dünyayı evrenin pisliklerinden korumaktadırlar."
1992,"Suç, Gerilim, Aksiyon","Nisan 1992 yılında Los Angeles'ta polis şiddeti nedeniyle bir dizi şiddetli ayaklanma meydana gelir. Bu kaosun ortasında eski bir mahkum, orada saklanan değerli platini çalmak için bir haydut çetesi tarafından işyerinde tehdit edilen oğlunu kurtarmak için zorlu bir mücadeleye girişir."
Hayata Röveşata Çeken Adam,"Komedi, Dram","Tek eğlencesi kendisinden bıkmış komşularını eleştirmek ve acımasızca yargılamak olan huysuz dul Otto Anderson’un dayanılmaz hikâyesini anlatıyor. Otto’nun yan dairesine hayat dolu genç ve neşeli bir aile taşındığında, Otto dişine göre bir rakiple, kıvrak zekâsı ve ağzı burnunda karnı ile Marisol ile karşılaşıyor. Marisol ve Otto’nun arasında Otto’nun hayatını ters yüz edecek bir dostluk başlıyor."
Bob Dylan: Tam Bir Bilinmez,"Dram, Müzik","New York, 1960'ların başları. Canlı müzik sahnesinin ve çalkantılı kültürel değişimin ortasında, Minnesota'dan 19 yaşındaki gizemli bir genç, gitarı ve devrimci yeteneğiyle West Village'a gelir. Amerikan müziğinin akışını sonsuza dek değiştirecektir."
Prestij,"Dram, Gizem, Bilim-Kurgu","19. yy sonlarında Londra’da Robert Angier, sevgili eşi Julia McCullough ve Alfred Borden hem arkadaştırlar hem de bir sihirbazın asistanlarıdırlar. Bir gösteri esnasında Julia ölünce Robert, onun ölümünden Alfred’i suçlar ve birbirlerine düşman olurlar. Zaman içinde ikisi de hem ünlü olurlar hem de rakip sihirbazlara dönüşerek birbirlerinin sahne üstünde performansını sabote etmeye kalkışırlar. Alfred başarılı bir hile yapınca Robert, rakibinin sırrını çözmek konusunu takıntı halinde getirir ve trajik olaylar birbirini kovalar."
Terrifier,"Korku, Gerilim","Cadılar Bayramı gecesi, iki genç kadın Tara ve Dawn, şehirde eğlenirken terk edilmiş bir binada ürkütücü bir palyaço olan Art the Clown ile karşılaşır. İlk başta zararsız görünen Art, kısa sürede acımasız bir katil olduğunu gösterir. Tara ve Dawn, Art'ın korkunç oyunlarına kurban olmamak için kaçmaya çalışırken, kendilerini kanlı bir ölüm kalım mücadelesinin içinde bulurlar."
Bıçak Sırtı,"Bilim-Kurgu, Dram, Gerilim","2019'un dumanla boğuşan distopik Los Angeles'ında, kısa ömürlerini uzatmanın bir yolunu bulmak için yaratıcılarını arayarak Dünya'ya kaçan birkaç Replicant'ı yok etmek için Rick Deckard emeklilikten çağrılır."
Karayip Korsanları: Salazar'ın İntikamı,"Macera, Aksiyon, Fantastik","Kaptan Jack Sparrow, yine şanssızlıklarla boğuşurken, denizlerde daha büyük bir tehlikeyle karşı karşıya gelir. Korkunç Kaptan Salazar ve onun ölümcül hayalet korsan ekibi, denizlerdeki tüm korsanları avlamak için Şeytan Üçgeni'nden kaçmayı başarmıştır. Salazar, Jack Sparrow'u yakalamak ve intikam almak için her şeyi göze alır. Jack, bu tehlikeden kurtulmanın tek yolunun Poseidon Asası'nı bulmak olduğunu öğrenir. Asayı bulmak için ise güzel ve zeki gökbilimci Carina Smyth ve Kraliyet Donanması'ndan genç bir denizci olan Henry Turner ile iş birliği yapar. Küçük ve külüstür gemisi Dying Gull ile Jack, kötü kaderini tersine çevirmeye ve Salazar'ın gazabından kurtulmaya çalışır."
Babil,"Dram, Komedi","Brad Pitt ve Margot Robbie'li Babylon, 1920'li yılların Los Angeles'ında, sinemanın sessiz dönemden çıkış sürecinde adından söz ettiren bir aktör ile gözünü yıldız statüsüne dikmiş hırslı bir aktris adayının gözünden o dönemki Hollywood'un her manadaki aşırılığını epik bir dille ele alıyor."
Yaratık: Covenant,"Korku, Bilim-Kurgu, Gerilim","Covenant adlı bir gemi, sakin ve bilinmeyen bir gezegene iniş yapar. Tayfa, başlangıçta gezegeni keşfedilmemiş bir cennet olarak görse de, karanlık kendini gösterdiğinde ekibin fikri değişecektir."
Iron Man 3,"Aksiyon, Macera, Bilim-Kurgu","Tony Stark, yaşadığı dünyanın bir enkaz haline geldiğini görünce hayatta kalmak, düşmanını yok etmek ve bir şekilde sevdiklerini de kurtarabilmek için tüm yeteneklerini kullanmak zorunda kalır. Ancak bir iç hesaplaşma onu gafil avlar: Kıyafet mi kişiyi değerli kılar yoksa kıyafeti değerli kılan kişinin kendisi midir?"
Dilek,"Animasyon, Aile, Fantastik, Macera","Keskin bir zekaya ve sevdiklerine büyük bir bağlılığa sahip 17 yaşındaki Asha, her dileğin gerçekleşebileceği bir krallık olan Rosas'ta yaşar. Bir çaresizlik anında, yıldızlara bir dilek tutar ve buna kozmik bir güç tarafından yanıt verilir; Star adı verilen sonsuz enerjiye sahip küçük bir top. Star ve Asha birlikte en büyük düşmanla yüzleşir ve kararlı bir kişinin arzusunun yıldızların büyüsüyle birleştiğinde harikalar yaratabileceğini kanıtlar."
Diktatör,Komedi,"O, ülkesine demokrasinin gelmesini engellemek için her koşulla, her engelle sonuna kadar mücadele eden ve direnen diktatör General Aladeen! Gerekirse ülkesinin dilinde yüzlerce sözcüğü kendi adıyla değiştirebilir ya da olimpiyatlarda şampiyon gelmek için her atleti vurabilir!"
Cesur Yürek,"Aksiyon, Dram, Tarih, Savaş","13 yüzyıl İskoçyası. İngiliz Kralı Edward, İskoçya'yı da krallığına katmak istemektedir. İngiliz soylularına Prima Nocta, yani topraklarında evlenen her kadınla ilk geceyi geçirme hakkını vererek İskoç halkının ayaklanmasına sebep olur. Çocukken ailesini ve yakınlarını özgür İskoçya uğruna kaybeden William Wallace, yıllar sonra karısı da öldürülünce halkı organize etmeye ve İngilizleri topraklarından atmaya karar verir."
Konuş Benimle,Korku,Genç bir arkadaş grubu buldukları mumyalanmış lanetli bir eli kullanarak ruhları nasıl canlandıracaklarını keşfederler ve içlerinden biri çok ileri gidip korkunç doğaüstü güçleri serbest bırakana kadar yeni heyecana kapılırlar.
